Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3200,2500,01 Sep 2016
2,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3200,2500,02 Sep 2016
3,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3200,2500,03 Sep 2016
4,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3200,2500,29 Aug 2016
5,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3200,2500,30 Aug 2016
6,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3200,2500,31 Aug 2016
7,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,12 Sep 2016
8,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,14 Sep 2016
9,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,16 Sep 2016
10,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,17 Sep 2016
11,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,19 Sep 2016
12,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,20 Sep 2016
13,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,21 Sep 2016
14,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,22 Sep 2016
15,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,24 Sep 2016
16,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,26 Sep 2016
17,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,27 Sep 2016
18,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,29 Sep 2016
19,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2600,30 Sep 2016
20,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1800,3300,2900,28 Sep 2016
21,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3250,2000,02 Nov 2016
22,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3250,2000,27 Oct 2016
23,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3250,2000,28 Oct 2016
24,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3250,2700,24 Oct 2016
25,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3250,2700,25 Oct 2016
26,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3250,2700,26 Oct 2016
27,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2000,03 Nov 2016
28,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2000,04 Nov 2016
29,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2000,05 Nov 2016
30,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,03 Oct 2016
31,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,04 Oct 2016
32,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,05 Oct 2016
33,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,06 Oct 2016
34,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,06 Sep 2016
35,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,07 Sep 2016
36,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,08 Oct 2016
37,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,08 Sep 2016
38,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,09 Sep 2016
39,Kolhapur,Kolhapur(Laxmipuri),Wheat,Other,FAQ,1900,3300,2600,10 Sep 2016
